text,anger,fear,joy,sadness,surprise,hope
Carta de López Cortés doctor para Juan Maurán de León mercader.,0,0,0,0,0,0
La carta de VM de 12 de abril recibí a 17 y mucha merced con ella.,0,0,0,0,0,0
Y lo de las letras se hizo ya cara a cara y Francés de la sala las ha ya enviado.,0,0,0,0,0,0
Lo de la manteca para mi señora Petronilla Mur ya he dado cargo que de val de Ossau me la traerán pasada Pascua y le servirá su merced a quien Margarita Hermes y yo besamos las manos junto con las de los señores hijos.,0,0,0,0,0,0
Yo he leído que el que no debe nada a nadie es felicísimo el segundo el que jamás se case el tercero el ciego que no ve cosa.,0,0,0,1,0,0
Y temiendo yo por mis pecados y habiendo yo hecho por muchos y si hubieran hecho por mí en lo cual para este mundo he sido muy desgraciado no hubiera salido de Zaragoza que me llega al alma.,0,1,0,1,0,0
Con su pan se lo coman que Dios mejorará a cada cual como hubiere mejorado.,0,0,0,1,0,0
Y por mis culpas y méritos va mi honra por tierra.,0,1,0,1,0,0
Y quien tenía grande obligación de salir de ella lo ha hechado en disimulación que me tiene consumido.,0,1,0,1,0,0
Bien veo lo que VM me dice por sus cartas que Vicente Francés lo hará bien.,0,0,0,0,0,0
A las obras aquí me matan guadamacilero trapero y quien la hẽbre como VM lo verá por las cartas que de los [...] yo envío.,0,0,0,0,0,0
Suplícole humildemente VM y Martín Enyéguez hablen con Vicente Francés y no quiera que yo padezca.,0,0,0,1,0,0
Y si yo le debo yo quiero hacer llaneza.,0,0,0,1,0,0
Envíeme cuenta formada.,0,0,0,0,0,0
Y no querría que yo hubiese de ir a Zaragoza que estoy en toda necesidad puesto.,0,0,0,1,0,0
Y pues VM mejor que nadie entiende esto se sirva de echarlo a un cabo y tratarlo como yo haría en cosas que VM me mande.,0,0,0,0,0,0
Y de mi hijo recibo señalada merced y la recibiré señaladísima que le vaya a la mano como yo haría a Juanico Maurán.,0,0,0,0,0,0
[...] Dios Nuestro Señor guarde la persona de VM como puede.,0,0,0,1,0,0
De Jaca a 24 de abril 1590.,0,0,0,1,0,0
El doctor López Cortés,0,0,0,0,0,0
Mi señor mande VM a Jaime mi hijo [...] en qué está mi pleito de el emparamiento de los 100 reales que ni me avisan ni cosa que no sería mucho.,0,1,0,1,0,0
Vicente Francés lo hubiera tomado muy a dientes.,0,0,0,1,0,0
Esto por merced.,0,0,0,0,0,0
Señor por aviso que la cama de ropa que tenía mi hijo que la cobre Vicente Francés.,0,0,0,0,0,0
Que no la malmeta Jaime.,0,0,0,0,0,0
Y me la enviarán a Ayerbe con carro que de allí lo traerán a Jaca.,0,0,0,0,0,0
Vicente FrancésCarta de López Cortés doctor para Juan Maurán de León mercader.,0,0,0,0,0,0
Siendo VM tan hombre de bien e hidalgo y allegado a razón no dejaré de darle cuenta de lo que pasa y suplicarle tome la mano en este negocio de hablar a Vicente Francés y que no quiera obligar a nadie a hacer un dislate.,0,0,0,1,0,0
Y es que quedando en su poder mis guadameciles y retratos arcas viejas murillos de hierro y todos los otros mis alhajas a fin y efecto que le había de vender y pagar mis deudas (como por carta suya me lo escribe) yo pensado fuera así y que mi honra no iría por tierra (que habría pagado a Miguel de Gracia Trapero y al guadamacilero 22 ducados y a Martín de Santa Justa 10 ducados y a VM lo que VM le sirviera) estando yo en esta confianza no solamente no lo ha hecho empero hállase con la baraja escribiendo a su madre que yo le debo más de [...] 150 ducados cosa falsa y mala y jamás pensada de ningún cristiano.,0,1,0,1,0,0
Y más porque conmigo que le he criado y ladeado y gastado por él y estar obligado 7000 [...] ducados por él y otras cosas que no le escribirían en una raxmada de papel.,0,0,0,1,0,0
Y veo que el interés le ciega y piensa que no hay verdad.,0,1,0,0,0,0
Y sé que dijo a mi hijo delante Miguel Gares (su primo nuestro) por haber recogido [...] al hijo del dicho Miguel Gares: «Vos no tenéis quien os dé un bocado de pan y [...] acogéis a otro».,0,0,0,1,0,0
Yo le he dado a él de comer que tenía menos y le he encaminado en toda virtud.,0,0,0,1,0,0
Y por no decir lo que más sobre esto podría decir es suplicar a VM me la haga en hablarle y decirle que mi hacienda no le debe nada.,0,0,0,0,0,0
Y si la quiere que la pague que con ella he de pagar a quien debo.,0,0,0,1,0,0
Que ochocientos que he pagado por una vaca cecinada que ya en agosto los había de haber Vicente Francés dados a Martín [...] no lo ha hecho.,0,0,0,1,0,0
Y dice que ha de ser por lo que come mi hijo y otras cosas semejantes.,0,0,0,1,0,0
Y tiene de pensar que yo iré a Zaragoza y se dilucidarán cosas y que se verá ahí lo que es justo se vea.,0,0,0,0,0,0
Y sepa VM por quiénes [...] se sirva en tratar esto.,0,0,0,0,0,0
Y escribirme lo que habrá resultado de la merced que VM me ha de hacer que aguardaré ocho días respuesta.,0,0,0,0,0,0
Donde no yo me parto luego.,0,0,0,0,0,0
A mi señora Petronila Mur y al señor Joan Maurán menor y a la mayoría beso mil veces la manos junto con las del padre Maurán y las de VM.,0,0,0,0,0,0
Y guarde Nuestro Señor la persona de VM como puede.,0,0,0,1,0,0
Vicente FrancésCarta de Vicente Francés mercader Juan Maurán de León mercader.Bajo pliego de una carta que escribí en 11 de éste a Miguel de Dosera tengo escrito a VM y avisádole de los grandes fríos y heladas que por esta tierra hace que admira tanto que no hay hombre que se atreva a salir de casa.,0,1,0,0,0,0
Para mi convalecencia digo a VM que me es harto contrario porque como esta casa es ruin y mal aparajeda lo paso harto mal.,0,1,0,1,0,0
Dios nos remedie.,0,1,0,1,0,0
Tengo avisado a VM que los jurados y prohómenes de aquí convino que fuesen a Valencia por lo de la casa y otras cosas que irán de Rota.,0,0,0,0,0,0
Ha importado harto su ida porque el marqués les ha hecho merced de que la casa fuese para la villa como deseábamos.,0,0,0,1,0,0
Y en las demás cosas ha proveído lo hacedero.,0,0,0,0,0,0
No sé si se remediarán.,0,1,0,1,0,0
A lo menos yo procuro que nuestras cobranzas fuesen con más calor que no hay cobrar un dinero en particular por los émulos que allá nos han hecho contrario.,0,1,0,1,0,0
Manda el marqués por memorial firmado de su mano que se den las fianzas de este arrendamiento.,0,0,0,0,0,0
Y pues sabe VM cuántas veces se lo tengo escrito y que para atajar estas dendalillas conviene darlas le vuelvo a suplicar que por la orden que tengo escrita por otras procure que el señor Bernabé de Sola testifique unasto de fiaduría.,0,0,0,1,0,0
Y hecho que sea sería de importancia que VM viniese por aquí y acabarse ya de asentar este negocio.,0,0,0,0,0,0
VM lo procure.,0,0,0,0,0,0
Y pues le tengo ya avisado me proveía las apocas de estas dos pensiones no quiero aquí cansarlo más.,0,0,0,1,0,0
Ya tengo también avisado cómo iban dejando el panizo.,0,0,0,1,0,0
Y así ahora digo que ya está dado.,0,0,0,0,0,0
Y gracias a Dios que he salido de esto que me lo daba VM en los ojos.,0,1,0,0,0,0
Y confío que no se habrá perdido en haberlo guardado porque aunque no he hecho precio aguardo que se hará de manera que no se perderá nada.,0,0,0,1,0,0
También dije algunos días ha que un síndico de Barcelona andaba por aquí comprando trigo.,0,0,0,0,0,0
Y me ha enviado a hablar algunas veces pero nunca nos hemos atrevido.,0,0,0,1,0,0
Y así digo que considerado el tiempo que por aquí pasa me voy entreteniendo.,0,0,0,0,0,0
Y no querría vender.,0,0,0,1,0,0
Y por otra parte el poco de trigo que tengo está en una cilla aquí de las de la villa que temo no se gaste.,0,0,0,1,0,0
Y por esto y porque son menester dineros si se allegasen a lo de razón procuraría de vender.,0,0,0,1,0,0
VM vea si habrá orden de algunos dineros y si no venderé si a 12000 me llegasen a dar en junto.,0,0,0,1,0,0
Algunas cargas se han vendido por aquí estos días a 13000 y a 14000 pero causado la gran nevada y heladas y no poder salir nadie de sus casas.,0,1,0,1,0,0
